id,text
1,sing tia
2,bu aue bu tau buou tshi kuot ka a pheoh
3,tsi sio kau sit hi to ko ti a
4,a ia ng tsiu a
5,an ki a tsiap pon a
6,n than tshuai
7,u pu pi a kuo tsu ko piau pi kioe ku ho hi kho ka au tshihu tut thuiu siu h pui
8,io khiu kha ho u siau hu tsing tshio
9,si o si buan tsiu i tsu ji to a i ai hia ka i ta i bo ui hi hu e
10,a ho ko tsua te suau buo la tau o e u eo ha sio tsio tsit si bo ka shi bo hua lau uan tsio iu ping ka si bi uat o
11,ko tsioa ta kao i bi tsit ta tho ho hipi hia i si tsu huau pot kua hin hiuon ho bau 
12,e tau khio hsia e bo ho poh
13,on ia kua ho ho
14,hoiau a si hut siu thok kua ka puo ai sui o iong tsuau
15,hau i u a pa houa a ueh so bo i u tshi u tsun puong puau o ba
16,si kiok u tsukt tsia ko pea pa hu iu puio si i tsuo pio sio io tin tsue kau uoa kau e ipio
17,a bu uan iua shi sua u a huaun i buh huan si
18,ua s tshi o si kan tap i pu tsho kau suau 
19,tin h tsio la tua ha siu bu tsuo si tsuot si pua kan tui o a si ho shiou sue e u u 
20,o io bo hua to tsut si si o
21,tsit ua buan i a
22,buo khuoa e ka e ku siu
23,in to e tu huae bu hua ie bo i kuano ua tsian konhu 
24,shio ho a kuk i kui pu u ho bo
25,a e tsu ko ea khue e
26,la tsu e ba tsuo 
27,siau khi to tui tshit ki pun tshi ua ta ti a ia e huhi
28,tsue a to kia i si suau tsap hu ioau ho ua tsiap pha huat tsia
29,uao khuao iu ki ia
30,tsiu pio ui hui o lu tshia tsin tshio e tshiua tsu tshia sio ko u ka e pion op pha p tha au ue phau 
31,i tsu a pu la ha ti ue ae kek hi ei tsit ku ue kui phia a o tsu si pu o tshiok hu tsit hion ho kut sa ho kha h
32,tong tsiun hoa
33,ha kau a
34,ta i b tia a un
35,tsi ma a sit kau huan a
36,kha o si puo hun e kak kha
37,ea khua u tshuat a hua sioa tsok be tsi pok tsit kia o ho
38,i ko kat timok ua u tuo po i io pui pi a tsi shi e shi a i ph
39,u an ti e buo pua o e be boa
40,tso tsit kua si thea buo tia e ka iu to tsi peo pheo tha hatsio pi tsio iuk pa siu thui ia
41,a a a pha u ua
42,ma an e ma
43,su su uo 
44,on ua p khiau ho pu kuo o thi tshi ian ki u ki tsu pui kuo sua ha e
45,ua si
46,suao iua buh kau e tia ka
47,gua o guau bu a thau k eu si kop pau ae ie i tsua ang tsi ho
48,i sua tsi tshi ak si bie sua
49,a tsi u tsu tsiotsu io
50,to tsit khua sua tho tsuai e shio euon lu be uo ka ton thi tshit hua oi
51,tsuao hua tha u pit kio pt khua pa kha puo ue kiu sua hu a uo
52,o ho sue ho ia khua tso si shiu tsin huan tui huau tsion tshiok khap po bun tsiok kio oh pio e
53,tsit e pak shi hia uo 
54,te o on u pup eo thi ho paung shiun a
55,sua siu shi h ho i tht khu
56,siun eh tau o puh pun tsi o kha ho 
57,la shi pa kui boh kuei bu
58,a n
59,a i a a si buh tht pa pa pak si bah khat ka la
60,hi sing shi iauk ko u tshi hon ue o a hi 
61,iun kui si ko kau to e khi mhit ho ki siuk tsun pui tuing khuin tsitn tsio a siu i tshua ho ho tsiau ka tui khi tshioh tsio su si pa kuikio tsa iau tsioa a tuinkhih
62,a pu si hoa
63,ua pa pa a u ung tsit siu
64,u ha kuatsin tshi o iu tsuan ak si pap khua tshiua hua tsit pa si si o i khua o a tu puiau puai ka tuapak si pau e i khuiphui u tshia tso po ai au piu sai tsua ti kshin hu thao
65,i tu si buo tion a sut hih tsio e tap pa lo e ba ko e ia
66,son ua ho gua tsia
67,lan tsit tsu khia at tuan a ng tiam poua tshi a
68,ha pua
69,i p phue hue pu e pu po
70,i kia bo ko io u si i ji tshi shu khua si ko a uak kuap i o ia ba huau o pi kiu sio thau pua la
71,pe si hu ha hoak ua kuoat la khua o tshiu
72,i la kau ke i e ka la
73,u pi huapak si khoa io tui i khopi hi tshua sua i tsuo ong ue kio ho ko jit siu
74,to a e tsiua ko kua ia ua a en ta ko tsu tsiuo au tau ba
75,ku e hua bu puaia
76,tsi ok kuotsu ka pue io la ka ki tkha pao ha i i kio u siu kha u 
77,i khuaiuh tsu e tsia tuau kin kia e tsit ma tsiun hui tsia bat tua tshi ua u pat kau u kua ka iau k
78,gua tiong iu lia i to bioh la iau tsio ba huat i thui uat io a tsit kuau e kia tshia ban tsia
79,e sion ksa sut khi tuau thio tuiu a 
80,thau kai a n thau a
81,gua sin hoa lua
82,un in kua kia khia hion ti huau pin tu tsit kioi suan tsap ue khih bo a bou
83,pak tsi lau kia thuia khi hi
84,i tsua to sau ka u ts io ka tsit a pu shia kak hua
85,tau ua tsue ong tsui tsia khui
86,sit a tsuau i tau hoa ben sin o guo e iong tsi a
87,tkha hi 
88,bo ji ho e kuan h 
89,i hia phohoae la piao shi tsa sua o o tshi tshih tso tsut
90,i ka si oae tiu shi ho thi tu i buo ka tsi ta tsu si i ka eh ka hi tsit h au uh si
91,lau ua ku tsuan p ia beh ian i tsua ap tha e
92,thak ko a ie e
93,i tshiu ho i khi a su suau ka i pe hueit au
94,si un kuo tshiua ko su tsuk tsia suo ke bu si p shi tshuat si kuo tsia tsu be sio si ho kuo ok tsu pua siun eh tsit ku ue i ha tsap ue
95,ui tsuit o kak kuo uau tsu pon t su tau phue phe ki ui uo tui su ku su pio usiu buo pu pa khu tioa tsit kua kioa 
96,ia
97,i a pea bioua ku ka a tsu sutsia o tsu ha piu ua hu a tu siau hu un tuioh tsu shio khiau su
98,tsu tshu phan a tui u sa tsiu tsi sa siok tsua t bo buo ka o
99,touo ta on u tsiok tsu sio lun laui po tuau ui ta hi biok tsoap be i a
100,oua tia i kio tsih iu ua ki a ji tuo kau tsia tshi o han tsiu pa e kap tap it ko
101,han e t ho aua u ien beo tsku po e pue bo
102,si tso si phin si ho ho la siu buo be pu su ua tsi i uo han ia ka uo
103,u tha tha an si pu si tsa tsin au tsu gua pui tuo phau kog ko
104,ti hu tiuk khio bua u hui bue kan e bo tshuan to si ing uin si kho tsit tso tua ua ba hi eh kau hi phi kuh ua
105,i a tsia pe ho
106,u pia ua beo bu shuhue ka thia tiau ueh tho t bio khu e tshi io hoa bu p shi kan ksa at ue uak bi
107,tsiau bo uan ng e a
108,ho pn tsian au
109,phan tsi tsi psiok tuak sio e ka ohua hua u ka ko siau la ai e tsua s boua ia tsio sa ao bn si huai
110,shan oi piu tuo to tsit khu u kon uat ban ta kh buih an e ko
111,u ho buh tau pa tshio sin lo pa si khi pin hau bo e ba kong ka i
112,sua ba uau pi tsau tshio si siu e khua lau leh tsi a
113,houla
114,to tshia
115,tsua sing tshia puo lui kuioa bu si u tsiua p ku tio o kan tui koak hue ka ta i tsue
116,a tsuat tu a sa ho gua sau sop pau p ha
117,shia h tso ta a bui gun u euthia thua sui i io huat tshiu phua su ksha ka tsi khn su tau phu tsi ha u
118,u ia ji pia t i puh o si tsuo
119,ba ko si tsuo tsit ak si tsui tshua puo hiu
120,e o e e i hia si si st st shi tuoh kok si
121,ta hian pui iua puoa bo top poa bo khi a in u than au sui siu
122,la ha au po lo u hiu uaih a ha e kua ua poak iak shia
123,ia khi
124,si e kui e pak ha pua khi ioa
125,a si o s hio tuai pu kh ha o pha bo thu a kaui puh tsia a hu hu e tsuit tsioa iu i hat siu ku e pi ua si tsua pu kho tshe
126,i kia kau mi sio pu su sut
127,i tsit e ho e mi
128,oak kong tsit e ko o saiah ua tuoa le ka e o ue tsin ma shi sia ha tuoa
129,ka tiap ti pui a tsuo bu su si
130,ho
131,iu sio si ka hue tsuo ko poa e tsia po kuang si bau pua tuin o
132,pn kau si tui hua tsu tsin si kuo pi kio siu pa i suak ko pn ko tio o kuo tsin sun
133,u a ui khau e siok su ksiok ko sua i e iu tsu e e lan uh tui tsit si o tsuau ha ki kui puo bu pu at ua
134,au tshuau hui ia hiso po uo shi i kui
135,sui tsui hoa luan thui ba ia shiu hiu tsio au
136,e si tua to tit tiu tsit tsia au 
